tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8
457247057116676096	4/18/14 14:59	"Es el diálogo el que hace la paz. No se puede tener paz sin diálogo". Papa Francisco	JuanManSantos	Juan Manuel Santos
457221443143487488	4/18/14 13:17	INAUGURACIÓN DEL IV CONGRESO INTERNACIONAL DE LA LENGUA ESPAÑOLA Y HOMENAJE AL NOBEL GABRIEL GARCÍA MÁRQUEZ
Marz… http://t.co/cdmSOzUycH	AlvaroUribeVel	Álvaro Uribe Vélez
457212287963906048	4/18/14 12:41	Comunidad:"Teniente y varios soldados mal heridos (al menos 5) en UCI Clínica Valle de Lilly. Batallón Palacé,Brigadas 37 y 17"	AlvaroUribeVel	Álvaro Uribe Vélez
457200421657137152	4/18/14 11:54	Andrés Uriel murió pero no se fue http://t.co/pVmjHI0Od6	AlvaroUribeVel	Álvaro Uribe Vélez
457197365880176640	4/18/14 11:42	Excited to report that Shak will perform #Empire live on @NBCTheVoice on Tuesday, April 22! ShakHQ	shakira	Shakira
457176357643243521	4/18/14 10:18	Lamentamos la muerte del ex ministro Andres Uriel Gallego y enviamos a su familia nuestras sentidas condolencias	JuanManSantos	Juan Manuel Santos
457140444485652480	4/18/14 7:55	RT @billboardlatin: .@CarlosVives joins the 'World Cup' panel at the #BBLatin Conference. Details here: http://t.co/k1C5wIWvGC (cc: @JudyCa…	carlosvives	Carlos Vives
457140375275454465	4/18/14 7:55	RT @Karoscott: #Np #TuAmorEterno de @carlosvives / " Como ser sueño entre tus sueños y despertar en un beso q no tenga fin..."	carlosvives	Carlos Vives
457112875941650432	4/18/14 6:06	Andrés Uriel murió pero no se fue, su camino será el mismo. Su señora madre, hermanos y sobrinos seguirán con su… http://t.co/s45QuJbJ1U	AlvaroUribeVel	Álvaro Uribe Vélez
457039936370528256	4/18/14 1:16	El llegar a Mad y encontrarme con esta triste noticia.#DescansaEnPazGabo #GraciasGabo #AdiosGabo #DescansaEnPazGabo http://t.co/3juZlZmW6V	ElGirald	Santiago Giraldo
457030854649597952	4/18/14 0:40	Tristeza en mi corazón por la partida de nuestro nobel, el hombre del realismo mágico, el del vallenato de 350 paginas, te recordaremos Gabo	Jorgitoceledon	JORGE CELEDON
456991440053485568	4/17/14 22:03	RT @leonardjimeno: Me puse aquel traje que me regaló Enriquito, pero al premio nobel ¡Hombre! le tocó viajar. @carlosvives	carlosvives	Carlos Vives
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8456990826628153344	4/17/14 22:01	RT @LatinoOnVEVO: Cuando te pierdes en esos ojos está peligroso! @carlosvives http://t.co/lSFnjLfAzB	carlosvives	Carlos Vives
456989332709339136	4/17/14 21:55	RT @LatinGRAMMYs: The Latin Recording Academy regrets the departure of a true advocate for vallenato music, Gabriel García Marquez	carlosvives	Carlos Vives
456968539665334272	4/17/14 20:32	Gloria eterna a quien más gloria nos ha dado. Gracias Gabo!	JuanManSantos	Juan Manuel Santos
456944134247309312	4/17/14 18:55	Mis palabras en los 80 años de Gabo: "La narración de hechos históricos, de costumbres y la descripción de nuestr… http://t.co/fmqf4U9vl7	AlvaroUribeVel	Álvaro Uribe Vélez
